0.381	0.508	0.635	0.762	0.889	1.016	1.143	1.27	1.397	1.524	1.651	
0.344	0.458	0.572	0.687	0.802	0.916	1.03	1.145	1.26	1.374	1.489	
0.312	0.416	0.52	0.624	0.728	0.832	0.936	1.04	1.144	1.248	1.352	
0.284	0.378	0.473	0.567	0.662	0.756	0.85	0.945	1.04	1.134	1.228	
0.26	0.346	0.433	0.519	0.606	0.692	0.779	0.865	0.952	1.038	1.124	
0.237	0.316	0.395	0.474	0.553	0.632	0.711	0.79	0.869	0.948	1.027	
0.219	0.292	0.365	0.438	0.511	0.584	0.657	0.73	0.803	0.876	0.949	
0.202	0.27	0.338	0.405	0.473	0.54	0.608	0.675	0.742	0.81	0.878	
0.186	0.248	0.31	0.372	0.434	0.496	0.558	0.62	0.682	0.744	0.806	
0.173	0.23	0.288	0.345	0.402	0.46	0.518	0.575	0.633	0.69	0.748	
0.16	0.214	0.268	0.321	0.374	0.428	0.482	0.535	0.588	0.642	0.696	
