theta (deg) 	 time (s) 	 elevationAng (deg) 	 Wcraft (deg/s) 	 alpha (deg/s^2)
69.7	0.0	0.0
69.9	2.91	0.202	0.0691
70.1	5.82	0.405	0.06981	0.00023
70.3	8.73	0.61	0.0705	0.000237
70.5	11.64	0.818	0.07121	0.000244
70.7	14.55	1.028	0.07194	0.000251
70.9	17.46	1.24	0.0727	0.000259
71.1	20.37	1.454	0.07347	0.000267
71.3	23.28	1.67	0.07428	0.000275
71.5	26.19	1.889	0.0751	0.000284
71.7	29.1	2.111	0.07596	0.000292
71.9	32.01	2.335	0.07684	0.000302
72.2	34.92	2.561	0.07774	0.000311
72.4	37.83	2.791	0.07868	0.000321
72.6	40.74	3.023	0.07965	0.000332
72.8	43.65	3.258	0.08065	0.000343
73.0	46.56	3.496	0.08168	0.000354
73.2	49.47	3.737	0.08275	0.000366
73.4	52.38	3.981	0.08385	0.000379
73.6	55.29	4.229	0.08499	0.000392
73.8	58.2	4.48	0.08617	0.000405
74.0	61.11	4.735	0.08739	0.000419
74.2	64.02	4.994	0.08866	0.000434
74.4	66.93	5.256	0.08997	0.00045
74.6	69.84	5.522	0.09133	0.000466
74.8	72.75	5.792	0.09274	0.000483
75.0	75.66	6.067	0.0942	0.000501
75.2	78.57	6.346	0.09571	0.00052
75.4	81.48	6.629	0.09729	0.00054
75.6	84.39	6.918	0.09892	0.00056
75.8	87.3	7.211	0.10061	0.000582
76.0	90.21	7.509	0.10238	0.000605
76.2	93.12	7.813	0.10421	0.000629
76.4	96.03	8.123	0.10612	0.000654
76.6	98.94	8.438	0.1081	0.000681
76.8	101.85	8.759	0.11017	0.000709
77.0	104.76	9.086	0.11232	0.000739
77.2	107.67	9.42	0.11457	0.00077
77.4	110.58	9.761	0.11691	0.000803
77.6	113.49	10.109	0.11935	0.000838
77.8	116.4	10.464	0.1219	0.000874
78.0	119.31	10.827	0.12456	0.000913
78.2	122.22	11.198	0.12734	0.000955
78.4	125.13	11.578	0.13025	0.000998
78.6	128.04	11.967	0.1333	0.001044
78.8	130.95	12.364	0.13648	0.001093
79.0	133.86	12.772	0.13982	0.001145
79.2	136.77	13.19	0.14332	0.0012
79.4	139.68	13.618	0.14699	0.001259
79.6	142.59	14.058	0.15084	0.001321
79.8	145.5	14.509	0.15488	0.001387
80.0	148.41	14.973	0.15913	0.001458
80.2	151.32	15.45	0.1636	0.001533
80.4	154.23	15.941	0.16831	0.001613
80.6	157.14	16.446	0.17326	0.001699
80.8	160.05	16.966	0.17848	0.00179
81.0	162.96	17.502	0.18398	0.001888
81.2	165.87	18.055	0.18979	0.001992
81.4	168.78	18.626	0.19592	0.002104
81.6	171.69	19.216	0.2024	0.002223
81.8	174.6	19.826	0.20925	0.002351
82.0	177.51	20.457	0.2165	0.002488
82.2	180.42	21.111	0.22418	0.002635
82.4	183.33	21.788	0.23232	0.002793
82.6	186.24	22.49	0.24096	0.002962
82.8	189.15	23.219	0.25012	0.003144
83.0	192.06	23.977	0.25986	0.00334
83.2	194.97	24.765	0.27021	0.00355
83.4	197.88	25.584	0.28121	0.003775
83.6	200.79	26.438	0.29292	0.004018
83.8	203.7	27.328	0.30539	0.004278
84.0	206.61	28.257	0.31868	0.004558
84.2	209.52	29.227	0.33284	0.004859
84.4	212.43	30.242	0.34794	0.005181
84.6	215.34	31.303	0.36405	0.005526
84.8	218.25	32.414	0.38123	0.005895
85.0	221.16	33.579	0.39956	0.006289
85.2	224.07	34.8	0.41912	0.006708
85.4	226.98	36.083	0.43996	0.007153
85.6	229.89	37.43	0.46218	0.007622
85.8	232.8	38.846	0.48584	0.008116
86.0	235.71	40.336	0.511	0.008632
86.2	238.62	41.903	0.53772	0.009167
86.4	241.53	43.553	0.56604	0.009714
86.6	244.44	45.29	0.59597	0.010269
86.8	247.35	47.119	0.62751	0.01082
87.0	250.26	49.045	0.66061	0.011356
87.2	253.17	51.071	0.69518	0.011861
87.4	256.08	53.202	0.73108	0.012317
87.6	258.99	55.441	0.7681	0.012699
87.8	261.9	57.79	0.80594	0.012982
88.0	264.81	60.251	0.84423	0.013135
88.2	267.72	62.823	0.88249	0.013125
88.4	270.63	65.505	0.92015	0.01292
88.6	273.54	68.294	0.95654	0.012487
88.8	276.45	71.182	0.99094	0.011799
89.0	279.36	74.163	1.02252	0.010837
89.2	282.27	77.225	1.05048	0.009593
89.4	285.18	80.355	1.07402	0.008074
89.6	288.09	83.539	1.0924	0.006305
89.8	291.0	86.76	1.10501	0.004329
90.0	293.91	90.0	1.11144	0.002203
